stake_address,proposal_count,total_lovelace,first_seen,last_seen,action_tx_hashes
stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,61,660216978000000,2025-07-17 02:35:25,2026-06-24 03:01:28,0f75dd11be0b7a6cb4b305a175b17cf4b60cd307c052fccabf9f572950e70583;4f6e5df9a6e14bd49e406e2bbb0d108b3be2be64b9569b930053a0c1eebe0d47;17e43ffe4b2e0df1787d54f21ac66643c74abb131a326272fceecbdbbdd0d3fc;3f4b022c9913d52f9f39a8c82a1b9ebe5143fb745f3531f9366c7268bf9b9ce4;aaa6d9ccb72639c77db46b73bec2eaff9e5fcdfa04909cf1a0f7855a4d31485a;c05eed09c8706453c97c88d403c4ff43b7786a552fe8711aa07d3e6529ffd8ba;5ad10ad39f49a0f93ac91e70482f114fdbcbc05b20ac774dbe23a82efbcb820a;af15a6627176f13be28100d7aa96a40f103f63c98e553869e38ab135ff4292cd;b4b48b8b822bb0039d312795821339b3719dfc0f682d51064dae716a7610e102;3f0ff0d848cab1036621f92732fef5ea1cb6466305889777ee95496933dfd1e4;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762;f8393f1ff814d3d52336a97712361fed933d9ef9e8d0909e1d31536a549fd22f;03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a;d2db60c5307cb517c735e2d0138d2b6f10fc5b221d610fa187719bdc82af9a03;2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9
stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,14,57273260000000,2026-06-23 16:14:33,2026-06-26 13:51:52,5439b6141625436ccf600f910bb0b3301b6288933a2cdf7939758848ae8b9997;d8de068952df50c862fa1bce9b8180d3387976cbae0fb2c3d9ef84f0faaf64d6;35b44189eb4795d5775122da52a3a115753f83fd662dd1ff205ea633fc99b34e;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf;b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf
stake17y0259mwcxx2yqgpt78rdmssa44nkcpxvwvn3r0hx3l0hxgeg9dty,2,21876539000000,2026-04-09 13:49:24,2026-04-29 06:01:08,7b42570b685aa6085c8345f894a6b04df06cb6fb17f9f252cfe891ceae705ddc;bd91fa7ea9b4e09f76cbde3abb0b564ffc60b27e18af464ccec9bef9c718d087
stake17x3n2krrld46qms4f4hzqqxzjgaf59u3fecvl6eh8scmaacjqmvjw,3,17235714000000,2026-03-29 14:56:18,2026-05-04 22:37:49,4206ae0bc11ba74f9eb86cd561ba684e44f0f9dfe12bc8f23911422a7e0a75f3;4705a3e4e2b3837c370774c357e31fb30aa02279ff8d34a770d855f905e502dc;b11527fbcdc9d41e8f497de64a029a18673a5eefc413718459046f0b7a1a6656
stake1uy5wxkqpezym2esqkgvw9yyqyd0rzuhkm206q6cddcxtqjgehj9ty,2,5000005000000,2025-08-02 12:46:02,2025-08-02 13:34:22,1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d;4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a
stake1u92flcyspwcp92lmgs0p47vdjrrek96l07cv3v6033wddfc8h620a,2,4030000000000,2026-05-15 12:52:13,2026-06-16 09:20:06,fbb8d1a4a8d6b62f8cd706944a0582b884c2b90187b8fada7953d5c6a33eb5a7;9a020ea7a6a0d813ff08c92bd8300b26077ae69a4b827c4d432ac665120325d7
stake17x2x5cv4nlwptph8kxvnyw93pp2sp54dk54dpfp2ax7fkggaj3ty4,2,1300000000000,2026-01-15 03:32:00,2026-03-10 01:52:56,e5c4d7ebaad03ac127ec19a286605a188d6fea1c54e075c619ca6993b7fa9fd1;4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2
