stake_address,proposal_count,total_lovelace,first_seen,last_seen,action_tx_hashes
stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,42,351181507000000,2025-07-17 02:35:25,2025-12-08 22:34:44,f8393f1ff814d3d52336a97712361fed933d9ef9e8d0909e1d31536a549fd22f;03f671791fd97011f30e4d6b76c9a91f4f6bcfb60ee37e5399b9545bb3f2757a;d2db60c5307cb517c735e2d0138d2b6f10fc5b221d610fa187719bdc82af9a03;2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e;3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9
stake1uy5wxkqpezym2esqkgvw9yyqyd0rzuhkm206q6cddcxtqjgehj9ty,2,5000005000000,2025-08-02 12:46:02,2025-08-02 13:34:22,1d6aea56e6a523b13e03ae30ff24ebf9852543b4f7d415c7e50f55f6baaa4e3d;4ff43f1eab5252ef00ba6f1429dc23715e3899834f10c067e8065c8364d5559a
stake17x2x5cv4nlwptph8kxvnyw93pp2sp54dk54dpfp2ax7fkggaj3ty4,2,1300000000000,2026-01-15 03:32:00,2026-03-10 01:52:56,e5c4d7ebaad03ac127ec19a286605a188d6fea1c54e075c619ca6993b7fa9fd1;4b10e5793208cb8f228756e02113227c91602248eac4d992681a0ee760b6c4e2
