id,timestamp,source,proposals_found,new_proposals,errors
892,2026-07-04T01:00:01.331674+00:00,koios,148,0,[]
891,2026-07-03T21:00:02.028723+00:00,koios,148,1,[]
890,2026-07-03T17:00:02.019100+00:00,koios,147,0,[]
889,2026-07-03T13:00:01.536404+00:00,koios,147,0,[]
888,2026-07-03T11:30:04.861084+00:00,koios,147,0,[]
887,2026-07-03T09:00:01.994825+00:00,koios,147,0,[]
886,2026-07-03T05:00:02.072870+00:00,koios,147,0,[]
885,2026-07-03T01:00:02.099208+00:00,koios,147,0,[]
884,2026-07-02T21:00:01.361977+00:00,koios,147,0,[]
883,2026-07-02T17:00:02.064972+00:00,koios,147,1,[]
882,2026-07-02T13:00:02.086284+00:00,koios,146,0,[]
881,2026-07-02T11:30:04.314259+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
880,2026-07-02T09:00:01.770046+00:00,koios,146,0,[]
879,2026-07-02T05:00:01.667187+00:00,koios,146,0,[]
878,2026-07-02T01:00:01.493897+00:00,koios,146,0,[]
877,2026-07-01T23:06:08.058006+00:00,koios,146,0,[]
876,2026-07-01T21:00:01.460645+00:00,koios,146,0,[]
875,2026-07-01T17:00:01.446229+00:00,koios,146,0,[]
874,2026-07-01T13:00:01.462694+00:00,koios,146,0,[]
873,2026-07-01T11:30:04.304518+00:00,koios,146,0,[]
872,2026-07-01T09:00:01.535552+00:00,koios,146,0,[]
871,2026-07-01T05:00:02.046236+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
870,2026-07-01T01:00:01.264166+00:00,koios,146,0,[]
869,2026-06-30T21:00:01.145163+00:00,koios,146,0,[]
868,2026-06-30T17:00:01.949960+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
867,2026-06-30T13:00:01.552448+00:00,koios,146,0,[]
866,2026-06-30T11:30:07.591683+00:00,koios,146,1,[]
865,2026-06-30T09:00:01.814066+00:00,koios,145,0,[]
864,2026-06-30T05:00:01.489332+00:00,koios,145,0,[]
863,2026-06-30T01:00:01.866863+00:00,koios,145,0,[]
862,2026-06-29T21:00:01.258607+00:00,koios,145,0,[]
861,2026-06-29T17:00:01.588683+00:00,koios,145,1,[]
860,2026-06-29T13:00:01.611094+00:00,koios,144,0,[]
859,2026-06-29T11:30:04.760483+00:00,koios,144,0,[]
858,2026-06-29T09:00:01.619141+00:00,koios,144,0,[]
857,2026-06-29T05:00:01.933252+00:00,koios,144,0,[]
856,2026-06-29T01:00:02.078788+00:00,koios,144,0,[]
855,2026-06-28T21:00:01.858726+00:00,koios,144,0,[]
854,2026-06-28T17:00:02.070342+00:00,koios,144,0,[]
853,2026-06-28T13:00:02.020033+00:00,koios,144,0,[]
852,2026-06-28T11:30:04.118858+00:00,koios,144,0,[]
851,2026-06-28T09:00:01.298425+00:00,koios,144,0,[]
850,2026-06-28T05:00:02.080436+00:00,koios,144,0,[]
849,2026-06-28T01:00:01.322195+00:00,koios,144,0,[]
848,2026-06-27T21:00:01.714024+00:00,koios,144,0,[]
847,2026-06-27T17:00:01.414477+00:00,koios,144,0,[]
846,2026-06-27T13:00:01.735618+00:00,koios,144,0,[]
845,2026-06-27T11:30:05.109066+00:00,koios,144,0,[]
844,2026-06-27T09:00:01.267810+00:00,koios,144,0,[]
843,2026-06-27T05:00:01.901164+00:00,koios,144,0,[]
842,2026-06-27T01:00:01.811559+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
841,2026-06-26T21:00:01.259895+00:00,koios,144,0,[]
840,2026-06-26T17:00:01.820643+00:00,koios,144,1,[]
839,2026-06-26T13:00:01.798943+00:00,koios,143,0,[]
838,2026-06-26T11:30:04.040035+00:00,koios,143,0,[]
837,2026-06-26T09:00:01.750915+00:00,koios,143,0,[]
836,2026-06-26T05:00:01.726562+00:00,koios,143,0,[]
835,2026-06-26T01:00:01.502675+00:00,koios,143,0,[]
834,2026-06-25T21:00:01.741312+00:00,koios,143,0,[]
833,2026-06-25T17:00:01.570010+00:00,koios,143,0,[]
832,2026-06-25T13:00:01.297721+00:00,koios,143,0,[]
831,2026-06-25T11:30:05.376591+00:00,koios,143,0,[]
830,2026-06-25T09:00:01.474493+00:00,koios,143,0,[]
829,2026-06-25T05:00:01.809476+00:00,koios,143,0,[]
828,2026-06-25T01:00:01.922422+00:00,koios,143,1,[]
827,2026-06-24T21:00:01.900671+00:00,koios,142,1,[]
826,2026-06-24T17:00:01.229615+00:00,koios,141,1,[]
825,2026-06-24T13:00:01.586960+00:00,koios,140,0,[]
824,2026-06-24T11:30:07.993974+00:00,koios,140,0,[]
823,2026-06-24T09:00:01.990318+00:00,koios,140,0,[]
822,2026-06-24T05:00:01.938278+00:00,koios,140,1,[]
821,2026-06-24T01:00:01.385077+00:00,koios,139,0,[]
820,2026-06-23T21:00:01.595469+00:00,koios,139,0,[]
819,2026-06-23T17:00:01.584060+00:00,koios,139,11,[]
818,2026-06-23T13:00:01.585658+00:00,koios,128,0,[]
817,2026-06-23T11:30:04.586142+00:00,koios,128,0,[]
816,2026-06-23T09:00:01.941831+00:00,koios,128,0,[]
815,2026-06-23T05:00:01.414417+00:00,koios,128,0,[]
814,2026-06-23T01:00:01.786220+00:00,koios,128,0,[]
813,2026-06-22T21:00:01.470524+00:00,koios,128,0,[]
812,2026-06-22T17:00:01.646942+00:00,koios,128,0,[]
811,2026-06-22T13:00:01.799346+00:00,koios,128,0,[]
810,2026-06-22T11:30:04.837137+00:00,koios,128,0,[]
809,2026-06-22T09:00:01.969390+00:00,koios,128,0,[]
808,2026-06-22T05:00:01.670912+00:00,koios,128,0,[]
807,2026-06-22T01:00:01.210833+00:00,koios,128,0,[]
806,2026-06-21T21:00:01.907535+00:00,koios,128,0,[]
805,2026-06-21T17:00:01.337115+00:00,koios,128,0,[]
804,2026-06-21T13:00:01.575870+00:00,koios,128,0,[]
