action_id,stake_address,amount_lovelace
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#9,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,300000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#10,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,600000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#12,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,578571000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#13,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,243478000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#17,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,657692000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#18,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,266667000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#20,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,212000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#21,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,15750000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#24,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,6000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#31,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,4000000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#32,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,26840000000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#33,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,199911000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#34,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,314800000000
8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e#36,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,104347000000
3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,45217000000
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,stake17xrqac8khkprtpp2jz90mpkujjwye8dt6a9sjewrvjudx9ggg4u5y,100000000000
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,stake17xrh74lqhhxgzelfsn0wq5kcm4e5dmluprlcpg5mq30p5yqhgk7k8,500000000000
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,stake17xd74ehu0l4d5mx0sfz4fd0r5jvw4v2jqkkfyjxrlwvnkhccrqj9l,300000000000
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,stake17xnev6rc25xwz8kg4qae8lq6dcg964z00py5gqgxd387pncv8fq8g,300000000000
60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45#0,stake178jztxzwynajcp4dva5gy9udmmnwg7ueffvf4c7hpjqhc7gtj5nzz,300000000000
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,stake17yezq8wpaqnssdjvd3p220uf7e6nzjae44w6yu625y965rg8en39a,1450000000000
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,stake179r8gmryz5wrwvlxm6g4s4u9ssdz656z95hwjnk9rgamedqpl4qd7,1160000000000
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,stake1790mk0jjjhppr36ethwj8kewpgyrxyc7q6qucl4gqru96dqh6k4q9,2575000000000
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,stake178ndhlcfy30t38z0tql64fpg8ply93r37xrgvdagfpsz5nsttyvhp,4057000000000
2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa#0,stake178a5gxtm0ynzw80f80rsps3a5dwem43swsekpnctd0wuwxs0hc220,900000000000
f35285db3c4e085ad331843b3007737952b8a322bb3216311edc37fdf44ad3da#0,stake1790c5a0h3qwkxquehkdg746ccaa3hdfzgp7ckx6wzdpp7lq6ysdg0,6900000000000
e5c4d7ebaad03ac127ec19a286605a188d6fea1c54e075c619ca6993b7fa9fd1#0,stake17x2x5cv4nlwptph8kxvnyw93pp2sp54dk54dpfp2ax7fkggaj3ty4,800000000000
8807e3cee3be5647742c329c1dea242f0c1c29b8ad050e15169e3b0302fcbfd6#0,stake1u99m2kxsvdwlulg4l6qwjrpvayzrzwk0fugnvu3uklfqtws257z0g,50000000000000
b11527fbcdc9d41e8f497de64a029a18673a5eefc413718459046f0b7a1a6656#0,stake17x3n2krrld46qms4f4hzqqxzjgaf59u3fecvl6eh8scmaacjqmvjw,8035714000000
bd91fa7ea9b4e09f76cbde3abb0b564ffc60b27e18af464ccec9bef9c718d087#0,stake17y0259mwcxx2yqgpt78rdmssa44nkcpxvwvn3r0hx3l0hxgeg9dty,14076539000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#5,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,13078578000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,3601926000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#1,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,13103039000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#2,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,27714342000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#3,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,62134630000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#8,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,12290000000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#7,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,7920000000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#4,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,10425871000000
73e171a4c0730b4b59ecae271ab89f12a9d56360b02920e1f95107dbdc1d6762#6,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,11877575000000
7b42570b685aa6085c8345f894a6b04df06cb6fb17f9f252cfe891ceae705ddc#0,stake17y0259mwcxx2yqgpt78rdmssa44nkcpxvwvn3r0hx3l0hxgeg9dty,7800000000000
b4b48b8b822bb0039d312795821339b3719dfc0f682d51064dae716a7610e102#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,1768167000000
3f0ff0d848cab1036621f92732fef5ea1cb6466305889777ee95496933dfd1e4#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,3303750000000
af15a6627176f13be28100d7aa96a40f103f63c98e553869e38ab135ff4292cd#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,39787316000000
2f583d8efb7a01da81df432f561a5a9bb2f5749555cea3e19d5097a9bfb06b52#0,stake1u9vp5r7j6n65xw9lkfy8fxweaght2cqsn7e0t62nmhlz2dcm5yzrr,2400000000000
4206ae0bc11ba74f9eb86cd561ba684e44f0f9dfe12bc8f23911422a7e0a75f3#0,stake17x3n2krrld46qms4f4hzqqxzjgaf59u3fecvl6eh8scmaacjqmvjw,4600000000000
4705a3e4e2b3837c370774c357e31fb30aa02279ff8d34a770d855f905e502dc#0,stake17x3n2krrld46qms4f4hzqqxzjgaf59u3fecvl6eh8scmaacjqmvjw,4600000000000
5ad10ad39f49a0f93ac91e70482f114fdbcbc05b20ac774dbe23a82efbcb820a#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,32916000000000
0b3c83b5e62a63603948c247b47cfd012279756fa38cf73b0c6c19ce63f0868c#0,stake1uxgkzrl5sj2j2s934nj8lqxq9f5wey4w4r2r0k2xcez67ucmt09vd,12000000000000
e0900fddf52f1f2f6439fa8a3aaa8c224ab59b6074d0e2db3b27c8f06b0e5d33#0,stake17yg2dle5tvyc4q7gy5cqel4sgd6xprjmm4u0jzzv8g0z9zgfz40xu,8503000000000
9a020ea7a6a0d813ff08c92bd8300b26077ae69a4b827c4d432ac665120325d7#0,stake1u92flcyspwcp92lmgs0p47vdjrrek96l07cv3v6033wddfc8h620a,1680000000000
c05eed09c8706453c97c88d403c4ff43b7786a552fe8711aa07d3e6529ffd8ba#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,23000000000000
aaa6d9ccb72639c77db46b73bec2eaff9e5fcdfa04909cf1a0f7855a4d31485a#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,10000000000000
3f4b022c9913d52f9f39a8c82a1b9ebe5143fb745f3531f9366c7268bf9b9ce4#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,2750000000000
17e43ffe4b2e0df1787d54f21ac66643c74abb131a326272fceecbdbbdd0d3fc#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,18263496000000
4f6e5df9a6e14bd49e406e2bbb0d108b3be2be64b9569b930053a0c1eebe0d47#0,stake17xzc8pt7fgf0lc0x7eq6z7z6puhsxmzktna7dluahrj6g6ghh5qjr,5100781000000
d52a4917df4f91c342eaf06ebb4c0a5c3156f6412d137f307cc77eb911f47ab1#0,stake1uys93fhep4lc2u6lu0q09kcxayxzthasded35c0x0w60ugc9s0cm5,103000000000
fbb8d1a4a8d6b62f8cd706944a0582b884c2b90187b8fada7953d5c6a33eb5a7#0,stake1u92flcyspwcp92lmgs0p47vdjrrek96l07cv3v6033wddfc8h620a,2350000000000
8721696358acdd43e34e5ed9ef1b3e2a1d2af9c1aa1972e017b9b9271b7ddc70#0,stake1u8vadh7hzuganqempk7kqu7e9dktl6pappdg5clr8q5dn5c98w6yj,9000000000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#1,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,540750000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#10,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,540750000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#9,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,1684050000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#8,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,540750000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#7,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,540750000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#6,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,1162746000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#5,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,3810423000000
b3d452bff7769d7f557ec6b8974760ee6c5e496c276652b654032966621e0ccf#4,stake1784sdxt6jjennmstphgdu7l7c2scf5d02a6cve2dgn5s2kq5u3j9v,25400000000000
